fpr,tpr,threshold,tag,artifact_source
0.435897,0.719626,0.542,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.461538,0.728972,0.538,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.461538,0.738318,0.536,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.487179,0.747664,0.533,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.512821,0.757009,0.526,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.512821,0.775701,0.524,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.512821,0.785047,0.517,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.538462,0.831776,0.5,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.564103,0.831776,0.484,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.564103,0.841121,0.48,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.589744,0.850467,0.476,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.589744,0.869159,0.474,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.589744,0.878505,0.471,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.589744,0.88785,0.462,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
